fact,explanation,gen_time
"[2, 2, 16, 3, 30, 3, 5, 0, 8, 0, 30, 4, 0, 0, 4, 0, 30, 0, 8, 0, 8, 12, 30, 8, 0, 0, 8, 2, 30, 3, 0, 0, 3, 1, -3, 0, 1, 499]","[2, 4, 1, 1, 30, 11, 2, 0, 13, 6, 30, 4, 0, 0, 4, 0, 30, 3, 10, 0, 13, 8, 30, 13, 0, 0, 13, 0, 30, 2, 3, 0, 5, -3, 0, 1, 479, 59]",79.01499104499817
"[2, 3, 27, 2, 30, 4, 0, 0, 4, 0, 30, 6, 0, 0, 6, 0, 30, 0, 4, 0, 4, 2, 30, 4, 0, 0, 4, 1, 30, 3, 0, 0, 3, 1, -3, 0, 1, 819]","[2, 2, 1, 1, 30, 5, 8, 0, 13, 3, 30, 2, 0, 0, 2, 0, 30, 3, 10, 0, 13, 1, 30, 12, 1, 0, 13, 0, 30, 1, 1, 0, 2, -3, 0, 1, 799, 59]",77.12133121490479
"[2, 4, 23, 0, 30, 10, 2, 0, 12, 0, 30, 6, 0, 0, 6, 0, 30, 3, 9, 0, 12, 1, 30, 12, 0, 0, 12, 1, 30, 3, 2, 0, 5, 1, -3, 0, 1, 719]","[2, 2, 1, 1, 30, 5, 5, 0, 10, 2, 30, 8, 0, 0, 8, 0, 30, 0, 10, 0, 10, 0, 30, 7, 3, 0, 10, 0, 30, 2, 2, 0, 4, -3, 0, 1, 699, 59]",74.22167754173279
"[2, 1, 15, 4, 30, 8, 0, 0, 8, 3, 30, 2, 0, 0, 2, 0, 30, 3, 5, 0, 8, 9, 30, 8, 0, 0, 8, 1, 30, 2, 2, 0, 4, 1, -3, 0, 1, 479]","[2, 3, 1, 1, 30, 5, 2, 0, 7, 2, 30, 2, 0, 0, 2, 0, 30, 1, 6, 0, 7, 0, 30, 5, 2, 0, 7, 0, 30, 1, 1, 0, 2, -3, 0, 1, 459, 59]",76.53627610206604
"[2, 1, 3, 2, 30, 10, 5, 0, 15, 0, 30, 9, 1, 0, 10, 0, 30, 2, 13, 0, 15, 3, 30, 15, 0, 0, 15, 0, 30, 2, 7, 0, 9, 0, 22, 0, 0, 119]","[2, 2, 1, 1, 30, 5, 5, 0, 10, 0, 30, 4, 0, 0, 4, 0, 30, 1, 9, 0, 10, 6, 30, 10, 0, 0, 10, 0, 30, 1, 3, 0, 4, 22, 0, 0, 99, 59]",77.08837056159973
"[2, 0, 39, 0, 30, 2, 2, 0, 4, 8, 30, 0, 0, 0, 0, 0, 30, 1, 3, 0, 4, 1, 30, 1, 3, 0, 4, 28, 30, 1, 0, 0, 1, 1, -3, 0, 1, 1179]","[2, 3, 1, 8, 30, 7, 3, 0, 10, 5, 30, 4, 0, 0, 4, 0, 30, 0, 10, 0, 10, 0, 30, 0, 10, 0, 10, 0, 30, 4, 0, 0, 4, -3, 0, 1, 1119, 59]",78.91761660575867
"[2, 4, 9, 0, 30, 2, 2, 0, 4, 0, 30, 2, 0, 0, 2, 0, 30, 0, 4, 0, 4, 0, 30, 3, 1, 0, 4, 0, 30, 2, 0, 0, 2, 0, 22, 0, 0, 279]","[2, 2, 1, 1, 30, 7, 7, 0, 14, 0, 30, 6, 2, 0, 8, 0, 30, 2, 12, 0, 14, 0, 30, 12, 2, 0, 14, 0, 30, 3, 4, 0, 7, 22, 0, 0, 259, 59]",75.14024257659912
"[2, 0, 37, 1, 30, 2, 3, 0, 5, 4, 30, 2, 0, 0, 2, 0, 30, 0, 5, 0, 5, 0, 30, 0, 5, 0, 5, 10, 30, 3, 0, 0, 3, 1, -3, 0, 1, 1119]","[2, 2, 1, 1, 30, 13, 3, 0, 16, 3, 30, 12, 0, 0, 12, 0, 30, 4, 12, 0, 16, 0, 30, 13, 3, 0, 16, 0, 30, 3, 6, 0, 9, -3, 0, 1, 1019, 59]",77.04144191741943
"[2, 0, 10, 2, 30, 9, 0, 0, 9, 3, 30, 6, 2, 0, 8, 0, 30, 3, 6, 0, 9, 3, 30, 9, 0, 0, 9, 0, 30, 1, 4, 0, 5, 1, -3, 0, 1, 319]","[2, 2, 1, 1, 30, 2, 7, 0, 9, 2, 30, 4, 0, 0, 4, 0, 30, 0, 9, 0, 9, 0, 30, 3, 6, 0, 9, 0, 30, 2, 1, 0, 3, 22, 0, 0, 279, 59]",74.04094672203064
"[2, 1, 31, 9, 30, 12, 0, 0, 12, 1, 30, 6, 2, 0, 8, 0, 30, 1, 11, 0, 12, 0, 30, 10, 2, 0, 12, 0, 30, 1, 5, 0, 6, 1, -3, 0, 1, 959]","[2, 3, 1, 1, 30, 13, 1, 0, 14, 7, 30, 4, 4, 0, 8, 0, 30, 1, 13, 0, 14, 2, 30, 10, 4, 0, 14, 0, 30, 3, 3, 0, 6, -3, 0, 1, 919, 59]",80.00572681427002
"[2, 4, 25, 6, 30, 11, 0, 0, 11, 5, 30, 4, 0, 0, 4, 0, 30, 2, 9, 0, 11, 6, 30, 7, 4, 0, 11, 0, 30, 3, 2, 0, 5, 1, -3, 0, 1, 779]","[2, 2, 1, 1, 30, 9, 0, 0, 9, 4, 30, 4, 0, 0, 4, 0, 30, 0, 9, 0, 9, 0, 30, 4, 5, 0, 9, 0, 30, 2, 2, 0, 4, -3, 0, 1, 759, 59]",75.98107981681824
"[2, 4, 25, 4, 30, 4, 0, 0, 4, 1, 30, 2, 0, 0, 2, 0, 30, 0, 4, 0, 4, 0, 30, 3, 1, 0, 4, 1, 30, 2, 1, 0, 3, 1, -3, 0, 1, 759]","[2, 2, 1, 3, 30, 11, 3, 0, 14, 2, 30, 4, 0, 0, 4, 0, 30, 2, 12, 0, 14, 0, 30, 6, 8, 0, 14, 0, 30, 1, 5, 0, 6, -3, 0, 1, 739, 59]",74.72562575340271
"[2, 1, 3, 2, 30, 10, 5, 0, 15, 0, 30, 9, 1, 0, 10, 0, 30, 2, 13, 0, 15, 4, 30, 14, 1, 0, 15, 0, 30, 2, 7, 0, 9, 0, 22, 0, 0, 119]","[2, 2, 1, 1, 30, 5, 5, 0, 10, 0, 30, 4, 0, 0, 4, 0, 30, 1, 9, 0, 10, 2, 30, 10, 0, 0, 10, 0, 30, 1, 3, 0, 4, 22, 0, 0, 99, 59]",76.40050911903381
"[2, 4, 19, 0, 30, 3, 1, 0, 4, 3, 30, 4, 0, 0, 4, 0, 30, 0, 4, 0, 4, 0, 30, 3, 1, 0, 4, 0, 30, 0, 3, 0, 3, 1, -3, 0, 1, 579]","[2, 2, 1, 1, 30, 13, 0, 0, 13, 2, 30, 6, 0, 0, 6, 0, 30, 1, 12, 0, 13, 0, 30, 1, 12, 0, 13, 0, 30, 1, 5, 0, 6, -3, 0, 1, 559, 59]",75.96166753768921
"[2, 0, 11, 2, 30, 2, 0, 0, 2, 5, 30, 0, 0, 0, 0, 0, 30, 1, 1, 0, 2, 3, 30, 2, 0, 0, 2, 0, 30, 0, 1, 0, 1, 1, -3, 0, 1, 339]","[2, 2, 1, 1, 30, 14, 0, 0, 14, 0, 30, 6, 4, 0, 10, 0, 30, 3, 11, 0, 14, 0, 30, 9, 5, 0, 14, 0, 30, 1, 5, 0, 6, -3, 0, 1, 319, 59]",76.13533139228821
"[2, 0, 31, 6, 30, 12, 0, 0, 12, 1, 30, 6, 2, 0, 8, 0, 30, 1, 11, 0, 12, 4, 30, 10, 2, 0, 12, 0, 30, 1, 5, 0, 6, 1, -3, 0, 1, 959]","[2, 3, 1, 1, 30, 13, 1, 0, 14, 9, 30, 4, 4, 0, 8, 0, 30, 1, 13, 0, 14, 0, 30, 10, 4, 0, 14, 0, 30, 3, 3, 0, 6, -3, 0, 1, 919, 59]",78.4118344783783
