fact,explanation,gen_time
"[2, 0, 39, 0, 30, 2, 2, 0, 4, 8, 30, 0, 0, 0, 0, 0, 30, 1, 3, 0, 4, 1, 30, 1, 3, 0, 4, 28, 30, 1, 0, 0, 1, 1, -3, 0, 1, 1179]","[2, 3, 1, 9, 30, 8, 7, 0, 15, 2, 30, 4, 0, 0, 4, 0, 30, 1, 14, 0, 15, 0, 30, 2, 13, 0, 15, 2, 30, 5, 0, 0, 5, -3, 0, 1, 1159, 59]",38.3009238243103
"[2, 4, 9, 0, 30, 2, 2, 0, 4, 0, 30, 2, 0, 0, 2, 0, 30, 0, 4, 0, 4, 0, 30, 3, 1, 0, 4, 0, 30, 2, 0, 0, 2, 0, 22, 0, 0, 279]","[2, 2, 1, 1, 30, 3, 6, 0, 9, 2, 30, 4, 0, 0, 4, 0, 30, 0, 9, 0, 9, 0, 30, 3, 6, 0, 9, 0, 30, 2, 1, 0, 3, 22, 0, 0, 279, 59]",37.38865399360657
"[2, 0, 37, 1, 30, 2, 3, 0, 5, 4, 30, 2, 0, 0, 2, 0, 30, 0, 5, 0, 5, 0, 30, 0, 5, 0, 5, 10, 30, 3, 0, 0, 3, 1, -3, 0, 1, 1119]","[2, 2, 1, 1, 30, 5, 5, 0, 10, 2, 30, 4, 0, 0, 4, 0, 30, 3, 7, 0, 10, 6, 30, 4, 6, 0, 10, 0, 30, 1, 1, 0, 2, -3, 0, 1, 1099, 59]",37.42755460739136
"[2, 0, 10, 2, 30, 9, 0, 0, 9, 3, 30, 6, 2, 0, 8, 0, 30, 3, 6, 0, 9, 3, 30, 9, 0, 0, 9, 0, 30, 1, 4, 0, 5, 1, -3, 0, 1, 319]","[2, 2, 1, 1, 30, 10, 8, 0, 18, 0, 30, 6, 0, 0, 6, 0, 30, 3, 15, 0, 18, 2, 30, 7, 11, 0, 18, 0, 30, 3, 3, 0, 6, -3, 0, 1, 299, 59]",38.012978076934814
"[2, 1, 31, 9, 30, 12, 0, 0, 12, 1, 30, 6, 2, 0, 8, 0, 30, 1, 11, 0, 12, 0, 30, 10, 2, 0, 12, 0, 30, 1, 5, 0, 6, 1, -3, 0, 1, 959]","[2, 2, 1, 3, 30, 10, 0, 0, 10, 0, 30, 4, 0, 0, 4, 0, 30, 0, 10, 0, 10, 0, 30, 8, 2, 0, 10, 0, 30, 1, 2, 0, 3, -3, 0, 1, 939, 59]",37.031306982040405
"[2, 4, 25, 6, 30, 11, 0, 0, 11, 5, 30, 4, 0, 0, 4, 0, 30, 2, 9, 0, 11, 6, 30, 7, 4, 0, 11, 0, 30, 3, 2, 0, 5, 1, -3, 0, 1, 779]","[2, 3, 1, 3, 30, 16, 0, 0, 16, 1, 30, 6, 0, 0, 6, 0, 30, 2, 14, 0, 16, 3, 30, 12, 4, 0, 16, 0, 30, 3, 3, 0, 6, -3, 0, 1, 779, 59]",37.78143239021301
"[2, 4, 25, 4, 30, 4, 0, 0, 4, 1, 30, 2, 0, 0, 2, 0, 30, 0, 4, 0, 4, 0, 30, 3, 1, 0, 4, 1, 30, 2, 1, 0, 3, 1, -3, 0, 1, 759]","[2, 2, 1, 1, 30, 9, 0, 0, 9, 0, 30, 4, 0, 0, 4, 0, 30, 0, 9, 0, 9, 0, 30, 3, 6, 0, 9, 0, 30, 2, 2, 0, 4, -3, 0, 1, 759, 59]",38.21181535720825
"[2, 1, 3, 2, 30, 10, 5, 0, 15, 0, 30, 9, 1, 0, 10, 0, 30, 2, 13, 0, 15, 4, 30, 14, 1, 0, 15, 0, 30, 2, 7, 0, 9, 0, 22, 0, 0, 119]","[2, 2, 1, 1, 30, 13, 7, 0, 20, 0, 30, 11, 1, 0, 12, 0, 30, 2, 18, 0, 20, 0, 30, 18, 2, 0, 20, 0, 30, 2, 8, 0, 10, 22, 0, 0, 119, 59]",38.01426076889038
"[2, 4, 19, 0, 30, 3, 1, 0, 4, 3, 30, 4, 0, 0, 4, 0, 30, 0, 4, 0, 4, 0, 30, 3, 1, 0, 4, 0, 30, 0, 3, 0, 3, 1, -3, 0, 1, 579]","[2, 2, 1, 1, 30, 4, 5, 0, 9, 2, 30, 6, 0, 0, 6, 0, 30, 0, 9, 0, 9, 4, 30, 4, 5, 0, 9, 0, 30, 0, 4, 0, 4, -3, 0, 1, 579, 59]",36.95431065559387
"[2, 0, 11, 2, 30, 2, 0, 0, 2, 5, 30, 0, 0, 0, 0, 0, 30, 1, 1, 0, 2, 3, 30, 2, 0, 0, 2, 0, 30, 0, 1, 0, 1, 1, -3, 0, 1, 339]","[2, 2, 1, 1, 30, 14, 0, 0, 14, 0, 30, 6, 4, 0, 10, 0, 30, 3, 11, 0, 14, 0, 30, 9, 5, 0, 14, 0, 30, 1, 5, 0, 6, -3, 0, 1, 319, 59]",37.23972225189209
"[2, 0, 31, 6, 30, 12, 0, 0, 12, 1, 30, 6, 2, 0, 8, 0, 30, 1, 11, 0, 12, 4, 30, 10, 2, 0, 12, 0, 30, 1, 5, 0, 6, 1, -3, 0, 1, 959]","[2, 2, 1, 1, 30, 10, 0, 0, 10, 2, 30, 4, 0, 0, 4, 0, 30, 0, 10, 0, 10, 0, 30, 6, 4, 0, 10, 0, 30, 1, 2, 0, 3, -3, 0, 1, 939, 59]",37.22111701965332
"[2, 2, 14, 0, 30, 3, 5, 0, 8, 8, 30, 2, 0, 0, 2, 1, 30, 2, 6, 0, 8, 8, 30, 8, 0, 0, 8, 0, 30, 4, 0, 0, 4, 1, -3, 0, 1, 439]","[2, 3, 1, 1, 30, 4, 9, 0, 13, 0, 30, 4, 0, 0, 4, 0, 30, 3, 10, 0, 13, 5, 30, 13, 0, 0, 13, 0, 30, 4, 1, 0, 5, -3, 0, 1, 439, 59]",38.61111354827881
"[2, 1, 31, 8, 30, 12, 0, 0, 12, 1, 30, 6, 2, 0, 8, 0, 30, 1, 11, 0, 12, 7, 30, 10, 2, 0, 12, 0, 30, 1, 5, 0, 6, 1, -3, 0, 1, 959]","[2, 2, 1, 2, 30, 10, 0, 0, 10, 0, 30, 4, 0, 0, 4, 0, 30, 0, 10, 0, 10, 1, 30, 8, 2, 0, 10, 0, 30, 1, 2, 0, 3, -3, 0, 1, 939, 59]",37.29366111755371
"[2, 4, 8, 2, 30, 5, 4, 0, 9, 0, 30, 4, 2, 0, 6, 0, 30, 2, 7, 0, 9, 2, 30, 9, 0, 0, 9, 0, 30, 3, 3, 0, 6, 0, 22, 0, 0, 259]","[2, 2, 1, 1, 30, 8, 6, 0, 14, 2, 30, 6, 2, 0, 8, 0, 30, 2, 12, 0, 14, 0, 30, 11, 3, 0, 14, 0, 30, 3, 4, 0, 7, 22, 0, 0, 259, 59]",36.74420785903931
